Xsdepot,,,Direct Connect Store,,,,Formula,,Output
Games,GirlStuff,,Electronics,Video Games,Games,,Games/GirlStuff==Electronics & Gadgets/Video Games/Games,,Games/GirlStuff==Electronics & Gadgets/Video Games/Games
Games,KidGames,,Electronics,Video Games,Games,,Games/KidGames==Electronics & Gadgets/Video Games/Games,,Games/KidGames==Electronics & Gadgets/Video Games/Games
Games,Puzzle&Trivia,,Electronics,Video Games,Games,,Games/Puzzle&Trivia==Electronics & Gadgets/Video Games/Games,,Games/Puzzle&Trivia==Electronics & Gadgets/Video Games/Games
Games,Racing,,Electronics,Video Games,Games,,Games/Racing==Electronics & Gadgets/Video Games/Games,,Games/Racing==Electronics & Gadgets/Video Games/Games
Games,RolePlaying,,Electronics,Video Games,Games,,Games/RolePlaying==Electronics & Gadgets/Video Games/Games,,Games/RolePlaying==Electronics & Gadgets/Video Games/Games
Games,Simulations,,Electronics,Video Games,Games,,Games/Simulations==Electronics & Gadgets/Video Games/Games,,Games/Simulations==Electronics & Gadgets/Video Games/Games
Games,Sports,,Electronics,Video Games,Games,,Games/Sports==Electronics & Gadgets/Video Games/Games,,Games/Sports==Electronics & Gadgets/Video Games/Games
Games,Strategy,,Electronics,Video Games,Games,,Games/Strategy==Electronics & Gadgets/Video Games/Games,,Games/Strategy==Electronics & Gadgets/Video Games/Games
GeneralMerchandise,AsSeenOnTV,,Electronics,AS Seen On TV,,,GeneralMerchandise/AsSeenOnTV==Electronics & Gadgets/AS Seen On TV,,GeneralMerchandise/AsSeenOnTV==Electronics & Gadgets/AS Seen On TV
GeneralMerchandise,Books,,For the Family,Books and More,,,GeneralMerchandise/Books==For the Family/Books and More,,GeneralMerchandise/Books==For the Family/Books and More
GeneralMerchandise,Clocks,,Home Decor,Clocks,,,GeneralMerchandise/Clocks==Home Decor/Clocks,,GeneralMerchandise/Clocks==Home Decor/Clocks
GeneralMerchandise,Clothing,,For the Family,Clothing,,,GeneralMerchandise/Clothing==For the Family/Clothing,,GeneralMerchandise/Clothing==For the Family/Clothing
GeneralMerchandise,Flashlights,,Tools and More,Flashlights,,,GeneralMerchandise/Flashlights==Tools and More/Flashlights,,GeneralMerchandise/Flashlights==Tools and More/Flashlights
GeneralMerchandise,GeneralMerchandise,,Household Items,Other Household,,,GeneralMerchandise/GeneralMerchandise==Household Items/Other Household,,GeneralMerchandise/GeneralMerchandise==Household Items/Other Household
